Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By
134631485,Add Payment Record,payment,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Add Payment,https://www.pivotaltracker.com/story/show/134631485,
134631501,View Payment Record,payment,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,View Payment,https://www.pivotaltracker.com/story/show/134631501,
134631505,Update Payment Record,payment,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Update Payment,https://www.pivotaltracker.com/story/show/134631505,
134631509,Cancel Payment Record,payment,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Cancel Payment,https://www.pivotaltracker.com/story/show/134631509,
134631527,Add Customer Record,customer,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Add Customer,https://www.pivotaltracker.com/story/show/134631527,
134631567,View Customer Record,customer,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,View Customer,https://www.pivotaltracker.com/story/show/134631567,
134631535,Update Customer Record,customer,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Update Customer,https://www.pivotaltracker.com/story/show/134631535,
134631575,Delete Customer Record,customer,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Delete Customer,https://www.pivotaltracker.com/story/show/134631575,
134631597,Add Reservation Record,reservation,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Add Reservation,https://www.pivotaltracker.com/story/show/134631597,
134631601,View Reservation Record,reservation,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,View Reservation Record,https://www.pivotaltracker.com/story/show/134631601,
134631605,Update Reservation Record,reservation,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Update Reservation Record,https://www.pivotaltracker.com/story/show/134631605,
134631653,Delete Reservation Record,reservation,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Delete Reservation,https://www.pivotaltracker.com/story/show/134631653,
134631659,Add Driver Record,driver,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Add Driver,https://www.pivotaltracker.com/story/show/134631659,
134631661,View Driver Record,driver,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,View Driver,https://www.pivotaltracker.com/story/show/134631661,
134631663,Update Driver Record,driver,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Update Driver,https://www.pivotaltracker.com/story/show/134631663,
134631667,Delete Driver Record,driver,1,"Nov 21, 2016","Dec 11, 2016",feature,,unstarted,"Nov 18, 2016",,,Liew Ken Hieng,Delete Driver,https://www.pivotaltracker.com/story/show/134631667,
