Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By,Comment,Comment,Comment
134631527,Add Customer Record,customer,2,15-Nov-16,02-Dec-16,feature,3,delivered,18-Nov-16,,,Liew Ken Hieng,"1. As a customer, I am required to add username so that I can login
2. As a customer, I am required to add password so that I can login
3. As a customer, I am required to add full name so that I am recognize by driver and make reservation
4. As a customer, I am required to add contact number so that I can be contacted by driver and staff
5. As a customer, I am required to add email address so that i can receive the latest news and promotion
6. As a customer, I am required to add date of birth so that staff can send me birthday wishes and birthday promotion or voucher.",https://www.pivotaltracker.com/story/show/134631527,,,Liew Ken Hieng,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631567,View Customer Record,customer,2,15-Nov-16,02-Dec-16,feature,2,delivered,18-Nov-16,,,Liew Ken Hieng,"1. As a customer, I am allowed to view username so that I can verify the username is correct.
2. As a customer, I am allowed to view full name so that I can verify the username is correct.
4. As a customer, I am allowed to view contact number so that I can verify the contact number is correct.
5. As a customer, I am allowed to view email address  so that I can verify the email address is correct.
6. As a customer, I am allowed to view date of birth so that I can verify the date of birth is correct.",https://www.pivotaltracker.com/story/show/134631567,,,Liew Ken Hieng,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631535,Update Customer Record,customer,2,15-Nov-16,02-Dec-16,feature,1,delivered,18-Nov-16,,,Liew Ken Hieng,"1. As a customer, I am allowed to update full name so that full name is corrected.
2. As a customer, I am allowed to update contact number so that contact number is corrected.
3. As a customer, I am allowed to update email address so that email address is corrected.
",https://www.pivotaltracker.com/story/show/134631535,,,Liew Ken Hieng,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631659,Add Driver Record,driver,2,15-Nov-16,02-Dec-16,feature,3,delivered,18-Nov-16,,,Weng Keong Tham,"As a driver,I am required to add driver username, password, full name, ic number(unique), contact number(unique), email address(unique), home address, taxi company name, taxi plate number(unique), date of birth, license expiry date into database so that the database will register my detail as new driver.",https://www.pivotaltracker.com/story/show/134631659,,,Weng Keong Tham,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631661,View Driver Record,driver,2,15-Nov-16,02-Dec-16,feature,2,delivered,18-Nov-16,,,Weng Keong Tham,"As a driver, i am allowed to view driver username, password, full name, ic number(unique), contact number(unique), email address(unique), home address, taxi company name, taxi plate number(unique), date of birth, license expiry so that can verify all detail is correct.",https://www.pivotaltracker.com/story/show/134631661,,,Weng Keong Tham,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631663,Update Driver Record,driver,2,15-Nov-16,02-Dec-16,feature,1,delivered,18-Nov-16,,,Weng Keong Tham,"As a driver, i am allowed to update driver username, password, full name, ic number(unique), contact number(unique), email address(unique), home address, taxi company name, taxi plate number(unique), date of birth, license expiry date so that record is corrected.",https://www.pivotaltracker.com/story/show/134631663,,,Weng Keong Tham,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631597,Add Reservation Record,reservation,2,15-Nov-16,02-Dec-16,feature,3,delivered,18-Nov-16,,,Lee Yi Hao,"As a customer,i can select pick up location and destination, so that i can make online reservation
As a customer,i can select pick up date and time, so that i can make online reservation",https://www.pivotaltracker.com/story/show/134631597,,,Lee Yi Hao,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631601,View Reservation Record,reservation,2,15-Nov-16,02-Dec-16,feature,2,delivered,18-Nov-16,,,Lee Yi Hao,"As a customer, i can view my reservation record,so that i can verify my reservation information
As a customer, i can save my favorite location from reservation record.",https://www.pivotaltracker.com/story/show/134631601,,,Lee Yi Hao,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631605,Update Reservation Record,reservation,2,15-Nov-16,02-Dec-16,feature,2,delivered,18-Nov-16,,,Lee Yi Hao,"As a customer,I am able to update the pick up location and destination so that I do not need to make cancellation.
",https://www.pivotaltracker.com/story/show/134631605,,,Lee Yi Hao,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
134631485,Payment by Card,payment,2,15-Nov-16,02-Dec-16,feature,2,delivered,18-Nov-16,,,lzx,"As a customer, I can make payment with card by entering card type, card number, card security code and expiry date, so that the system will verify the card and able to make payment.",https://www.pivotaltracker.com/story/show/134631485,,,lzx,"Commit by littleshinchan
https://github.com/littleshinchan/process/commit/50762de12a75234bdb9cda8ba3d651f8f9899102

[Started #134631527][Started #134631567][Started #134631535][Started #134631659][Started #134631661][Started #134631663][Started #134631597][Started #134631601][Started #134631605][Started #134631485]

[Liew Ken Hieng]
[00.47]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[00.47]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[00.47]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[00.47]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/180af98445c8ef3d138ee9c4ebe2c5e8bd18cb24

[Finishes #134631527][Finishes #134631567][Finishes #134631535][Finishes #134631659][Finishes #134631661][Finishes #134631663][Finishes #134631597][Finishes #134631601][Finishes #134631605][Finishes #134631485]

[Liew Ken Hieng]
[01.30]
[Add Customer Record] [View Customer Record][Update Customer Record]

Tham Weng keong
[01.30]
[Add Driver Record] [View Driver  Record][Update Driver Record]

[Lee Yi Hao]
[01.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record]

[Lee Zi Xiang]
[01.30]
[Payment By Card] (Liew Ken Hieng - Dec 22, 2016)","Commit by littleshinchan
https://github.com/littleshinchan/process/commit/2ce1c858bc78ae1e6a0c22de2b9100ca9c9064b9

[Deliver #134631527][Deliver #134631567][Deliver #134631535][Deliver #134631659][Deliver #134631661][Deliver #134631663][Deliver #134631597][Deliver #134631601][Deliver #134631605][Deliver #134631485][Accept #134631527][Accept #134631567][Accept #134631535][Accept #134631659][Accept #134631661][Accept #134631663][Accept #134631597][Accept #134631601][Accept #134631605][Accept #134631485]

[Liew Ken Hieng]
[19.30]
[Add Customer Record] [View Customer Record][Update Customer Record],[Customer]

Tham Weng keong
[19.30]
[Add Driver Record] [View Driver  Record][Update Driver Record],[Driver]

[Lee Yi Hao]
[19.30]
[Add Reservation Record] [View Reservation Record][Update Reservation Record],[Reservation]

[Lee Zi Xiang]
[19.30]
[Payment By Card],[Payment] (Liew Ken Hieng - Dec 23, 2016)"
